post_id,captured_at,platform,topic,public_text,language,location,inferred_audience,impressions,engagements,shares,comments,sentiment_score,source_verified
SOC-0173,2026-06-22,Facebook,digital_literacy,The short verification steps are useful and actionable,en,Sharjah,Content creators,16911,1184,403,272,0.74,true
SOC-0174,2026-06-23,Public forum,breaking_news,الخبر عاجل لكن لا يوجد رابط لمصدر موثوق,ar,UAE,Parents,15146,2272,545,318,-0.49,true
SOC-0175,2026-06-24,Instagram,digital_literacy,خطوات التحقق المختصرة مفيدة وسهلة التطبيق,ar,Kalba,Content creators,25841,1550,310,124,0.69,true
SOC-0176,2026-06-25,YouTube,ai_content,Is this video authentic or AI-generated?,en,Kalba,Professionals,2476,149,25,9,-0.14,true
SOC-0177,2026-06-26,TikTok,digital_literacy,خطوات التحقق المختصرة مفيدة وسهلة التطبيق,ar,Sharjah,Content creators,12118,1818,527,182,0.84,true
SOC-0178,2026-06-27,X,breaking_news,الخبر عاجل لكن لا يوجد رابط لمصدر موثوق,ar,Kalba,Content creators,18385,1839,405,257,-0.55,true
SOC-0179,2026-06-28,Public forum,trust,Including the date and source increased my trust,en,Al Dhaid,Youth,55313,3319,332,266,0.81,true
SOC-0180,2026-06-29,TikTok,breaking_news,The news is urgent but has no link to a trusted source,en,Kalba,Youth,22617,905,145,118,-0.64,true
SOC-0181,2026-01-01,Public forum,trust,Including the date and source increased my trust,en,UAE,Professionals,33672,3030,303,394,0.67,true
SOC-0182,2026-01-02,YouTube,misinformation,هذه الصورة صحيحة لكن الوصف المرفق بها مضلل,ar,Sharjah,Parents,9959,398,92,20,-0.75,true
SOC-0183,2026-01-03,TikTok,source_verification,كيف أتأكد من المصدر الأصلي قبل المشاركة؟,ar,Sharjah,Content creators,38200,4966,1242,844,0.40,false
SOC-0184,2026-01-04,Facebook,ai_content,هل هذا الفيديو حقيقي أم مولد بالذكاء الاصطناعي؟,ar,UAE,Parents,13355,1068,288,53,-0.21,true
SOC-0185,2026-01-05,YouTube,breaking_news,الخبر عاجل لكن لا يوجد رابط لمصدر موثوق,ar,Al Dhaid,Residents,57035,3422,650,513,-0.70,false
SOC-0186,2026-01-06,Instagram,rumor_control,يجب توضيح الإشاعة والرد عليها دون إعادة نشرها,ar,Khor Fakkan,Content creators,50591,5565,1280,334,0.04,false
SOC-0187,2026-01-07,X,trust,ذكر التاريخ والمصدر زاد ثقتي بالمعلومة,ar,Al Dhaid,Students,26630,533,43,101,0.56,false
SOC-0188,2026-01-08,X,digital_literacy,The short verification steps are useful and actionable,en,Sharjah,Parents,46955,3287,559,756,0.82,true
SOC-0189,2026-01-09,Facebook,trust,ذكر التاريخ والمصدر زاد ثقتي بالمعلومة,ar,Sharjah,Youth,33756,2363,236,213,0.77,false
SOC-0190,2026-01-10,TikTok,trust,ذكر التاريخ والمصدر زاد ثقتي بالمعلومة,ar,UAE,Content creators,11070,1218,451,280,0.70,true
SOC-0191,2026-01-11,X,misinformation,هذه الصورة صحيحة لكن الوصف المرفق بها مضلل,ar,Sharjah,Parents,51233,8197,2623,1230,-0.59,true
SOC-0192,2026-01-12,YouTube,misinformation,هذه الصورة صحيحة لكن الوصف المرفق بها مضلل,ar,Sharjah,Students,8828,1148,356,310,-0.50,true
SOC-0193,2026-01-13,YouTube,source_verification,كيف أتأكد من المصدر الأصلي قبل المشاركة؟,ar,Sharjah,Youth,65255,1305,418,300,0.34,true
SOC-0194,2026-01-14,X,misinformation,هذه الصورة صحيحة لكن الوصف المرفق بها مضلل,ar,Kalba,Parents,12297,1845,424,166,-0.62,false
SOC-0195,2026-01-15,Instagram,ai_content,هل هذا الفيديو حقيقي أم مولد بالذكاء الاصطناعي؟,ar,Sharjah,Parents,14977,749,135,142,-0.35,true
SOC-0196,2026-01-16,Public forum,breaking_news,The news is urgent but has no link to a trusted source,en,Kalba,Youth,67691,4061,487,325,-0.65,true
SOC-0197,2026-01-17,X,source_verification,كيف أتأكد من المصدر الأصلي قبل المشاركة؟,ar,UAE,Content creators,45302,1359,313,381,0.49,true
SOC-0198,2026-01-18,Instagram,ai_content,هل هذا الفيديو حقيقي أم مولد بالذكاء الاصطناعي؟,ar,UAE,Residents,35335,6007,1261,601,-0.22,true
SOC-0199,2026-01-19,TikTok,official_sources,التوضيح الرسمي وصل بسرعة وذكر تفاصيل واضحة,ar,Sharjah,Content creators,16279,2767,692,609,0.63,true
SOC-0200,2026-01-20,Instagram,breaking_news,The news is urgent but has no link to a trusted source,en,Sharjah,Content creators,52958,6355,1335,508,-0.60,true
SOC-0201,2026-01-21,Facebook,official_sources,التوضيح الرسمي وصل بسرعة وذكر تفاصيل واضحة,ar,Sharjah,Residents,53084,7963,956,1672,0.70,true
SOC-0202,2026-01-22,Public forum,breaking_news,الخبر عاجل لكن لا يوجد رابط لمصدر موثوق,ar,Sharjah,Parents,56838,4547,546,591,-0.41,true
SOC-0203,2026-01-23,X,source_verification,كيف أتأكد من المصدر الأصلي قبل المشاركة؟,ar,Kalba,Students,35309,4943,1236,692,0.52,false
SOC-0204,2026-01-24,Facebook,digital_literacy,خطوات التحقق المختصرة مفيدة وسهلة التطبيق,ar,Al Dhaid,Parents,23507,940,179,75,0.85,true
SOC-0205,2026-01-25,Facebook,official_sources,The official clarification arrived quickly and included clear details,en,Al Dhaid,Students,12862,643,154,148,0.86,true
SOC-0206,2026-01-26,YouTube,official_sources,التوضيح الرسمي وصل بسرعة وذكر تفاصيل واضحة,ar,Khor Fakkan,Youth,57953,9852,2562,2364,0.83,true
SOC-0207,2026-01-27,X,ai_content,هل هذا الفيديو حقيقي أم مولد بالذكاء الاصطناعي؟,ar,UAE,Parents,57933,8690,3128,956,-0.35,true
SOC-0208,2026-01-28,YouTube,official_sources,التوضيح الرسمي وصل بسرعة وذكر تفاصيل واضحة,ar,UAE,Youth,16888,2533,861,405,0.83,true
SOC-0209,2026-01-29,YouTube,trust,ذكر التاريخ والمصدر زاد ثقتي بالمعلومة,ar,Khor Fakkan,Professionals,27042,541,227,119,0.56,true
SOC-0210,2026-01-30,X,ai_content,هل هذا الفيديو حقيقي أم مولد بالذكاء الاصطناعي؟,ar,Al Dhaid,Parents,55444,1663,599,216,-0.35,false
SOC-0211,2026-01-31,Instagram,trust,Including the date and source increased my trust,en,Khor Fakkan,Content creators,54490,8174,2452,1308,0.61,false
SOC-0212,2026-02-01,TikTok,official_sources,التوضيح الرسمي وصل بسرعة وذكر تفاصيل واضحة,ar,UAE,Residents,58355,10504,3781,1576,0.87,true
SOC-0213,2026-02-02,TikTok,ai_content,هل هذا الفيديو حقيقي أم مولد بالذكاء الاصطناعي؟,ar,Sharjah,Professionals,10540,211,30,38,-0.16,true
SOC-0214,2026-02-03,YouTube,rumor_control,يجب توضيح الإشاعة والرد عليها دون إعادة نشرها,ar,Al Dhaid,Residents,34805,696,251,111,0.06,true
SOC-0215,2026-02-04,Public forum,digital_literacy,خطوات التحقق المختصرة مفيدة وسهلة التطبيق,ar,Kalba,Content creators,41330,7026,1265,1546,0.71,true
SOC-0216,2026-02-05,Instagram,rumor_control,يجب توضيح الإشاعة والرد عليها دون إعادة نشرها,ar,Khor Fakkan,Parents,4515,271,100,16,0.04,true
SOC-0217,2026-02-06,YouTube,digital_literacy,خطوات التحقق المختصرة مفيدة وسهلة التطبيق,ar,Sharjah,Content creators,7709,1233,345,160,0.72,true
SOC-0218,2026-02-07,Instagram,digital_literacy,خطوات التحقق المختصرة مفيدة وسهلة التطبيق,ar,UAE,Residents,55434,8869,3459,1774,0.77,true
SOC-0219,2026-02-08,TikTok,ai_content,Is this video authentic or AI-generated?,en,Al Dhaid,Residents,47956,5275,1688,1108,-0.27,true
SOC-0220,2026-02-09,Instagram,ai_content,هل هذا الفيديو حقيقي أم مولد بالذكاء الاصطناعي؟,ar,Sharjah,Content creators,41718,2086,501,188,-0.18,false
SOC-0221,2026-02-10,YouTube,misinformation,هذه الصورة صحيحة لكن الوصف المرفق بها مضلل,ar,UAE,Students,16723,1171,117,94,-0.71,false
SOC-0222,2026-02-11,YouTube,breaking_news,الخبر عاجل لكن لا يوجد رابط لمصدر موثوق,ar,UAE,Residents,41121,3290,1053,855,-0.68,false
SOC-0223,2026-02-12,Facebook,digital_literacy,خطوات التحقق المختصرة مفيدة وسهلة التطبيق,ar,Kalba,Professionals,26988,2429,704,510,0.78,true
SOC-0224,2026-02-13,X,source_verification,How can I verify the original source before sharing?,en,UAE,Students,55157,1103,309,66,0.28,false
SOC-0225,2026-02-14,Instagram,official_sources,The official clarification arrived quickly and included clear details,en,UAE,Professionals,54477,4903,1814,932,0.90,true
SOC-0226,2026-02-15,Facebook,trust,ذكر التاريخ والمصدر زاد ثقتي بالمعلومة,ar,Khor Fakkan,Professionals,7248,145,61,35,0.73,true
SOC-0227,2026-02-16,Instagram,official_sources,The official clarification arrived quickly and included clear details,en,Khor Fakkan,Content creators,51876,1556,622,249,0.84,true
SOC-0228,2026-02-17,TikTok,breaking_news,الخبر عاجل لكن لا يوجد رابط لمصدر موثوق,ar,Kalba,Content creators,26780,3481,1253,278,-0.57,false
SOC-0229,2026-02-18,Public forum,ai_content,هل هذا الفيديو حقيقي أم مولد بالذكاء الاصطناعي؟,ar,Kalba,Parents,51000,4590,1010,597,-0.25,true
SOC-0230,2026-02-19,YouTube,source_verification,كيف أتأكد من المصدر الأصلي قبل المشاركة؟,ar,Sharjah,Students,23270,3723,372,484,0.32,true
SOC-0231,2026-02-20,TikTok,digital_literacy,خطوات التحقق المختصرة مفيدة وسهلة التطبيق,ar,Khor Fakkan,Content creators,45811,3207,834,641,0.83,true
SOC-0232,2026-02-21,Instagram,rumor_control,يجب توضيح الإشاعة والرد عليها دون إعادة نشرها,ar,Kalba,Parents,8342,1251,163,313,0.20,false
SOC-0233,2026-02-22,Public forum,trust,Including the date and source increased my trust,en,Sharjah,Content creators,53880,9698,2328,2037,0.70,true
SOC-0234,2026-02-23,Facebook,misinformation,The image is real but its caption is misleading,en,Al Dhaid,Parents,59518,10118,1012,2024,-0.69,false
SOC-0235,2026-02-24,Instagram,rumor_control,يجب توضيح الإشاعة والرد عليها دون إعادة نشرها,ar,Al Dhaid,Residents,14452,2457,713,442,0.07,false
SOC-0236,2026-02-25,X,digital_literacy,خطوات التحقق المختصرة مفيدة وسهلة التطبيق,ar,Kalba,Content creators,7917,713,93,150,0.90,true
SOC-0237,2026-02-26,Public forum,source_verification,كيف أتأكد من المصدر الأصلي قبل المشاركة؟,ar,Sharjah,Residents,22750,683,246,34,0.53,false
SOC-0238,2026-02-27,Facebook,misinformation,هذه الصورة صحيحة لكن الوصف المرفق بها مضلل,ar,Kalba,Youth,44483,890,320,169,-0.49,true
SOC-0239,2026-02-28,Instagram,misinformation,هذه الصورة صحيحة لكن الوصف المرفق بها مضلل,ar,UAE,Content creators,20043,1203,301,72,-0.79,false
SOC-0240,2026-03-01,TikTok,digital_literacy,The short verification steps are useful and actionable,en,Sharjah,Residents,47883,3831,1149,460,0.67,true
SOC-0241,2026-03-02,YouTube,official_sources,التوضيح الرسمي وصل بسرعة وذكر تفاصيل واضحة,ar,UAE,Content creators,67693,4062,934,772,0.68,true
SOC-0242,2026-03-03,Instagram,digital_literacy,خطوات التحقق المختصرة مفيدة وسهلة التطبيق,ar,Sharjah,Professionals,20104,2614,1098,288,0.88,true
SOC-0243,2026-03-04,TikTok,trust,Including the date and source increased my trust,en,Sharjah,Youth,59170,2367,781,663,0.69,true
SOC-0244,2026-03-05,TikTok,official_sources,التوضيح الرسمي وصل بسرعة وذكر تفاصيل واضحة,ar,Al Dhaid,Students,28367,5106,817,664,0.70,true
SOC-0245,2026-03-06,YouTube,official_sources,The official clarification arrived quickly and included clear details,en,Sharjah,Students,8249,412,45,74,0.88,true
SOC-0246,2026-03-07,Facebook,misinformation,هذه الصورة صحيحة لكن الوصف المرفق بها مضلل,ar,Sharjah,Professionals,14073,1267,380,89,-0.61,true
SOC-0247,2026-03-08,TikTok,digital_literacy,خطوات التحقق المختصرة مفيدة وسهلة التطبيق,ar,Sharjah,Youth,31791,5087,1170,509,0.71,true
SOC-0248,2026-03-09,X,misinformation,هذه الصورة صحيحة لكن الوصف المرفق بها مضلل,ar,UAE,Residents,58260,2913,699,437,-0.72,true
SOC-0249,2026-03-10,Facebook,trust,Including the date and source increased my trust,en,Khor Fakkan,Parents,33201,2988,687,807,0.74,false
SOC-0250,2026-03-11,X,official_sources,The official clarification arrived quickly and included clear details,en,Kalba,Students,30302,1212,400,121,0.74,true
SOC-0251,2026-03-12,YouTube,ai_content,هل هذا الفيديو حقيقي أم مولد بالذكاء الاصطناعي؟,ar,UAE,Youth,67550,12159,3526,1945,-0.31,false
SOC-0252,2026-03-13,YouTube,source_verification,How can I verify the original source before sharing?,en,Sharjah,Content creators,42645,7676,1075,1919,0.37,true
SOC-0253,2026-03-14,Public forum,digital_literacy,خطوات التحقق المختصرة مفيدة وسهلة التطبيق,ar,UAE,Residents,8162,1469,353,279,0.77,true
SOC-0254,2026-03-15,Facebook,source_verification,كيف أتأكد من المصدر الأصلي قبل المشاركة؟,ar,UAE,Content creators,25018,4253,936,723,0.57,true
SOC-0255,2026-03-16,Instagram,ai_content,هل هذا الفيديو حقيقي أم مولد بالذكاء الاصطناعي؟,ar,Kalba,Parents,15643,939,85,197,-0.16,false
SOC-0256,2026-03-17,Public forum,ai_content,Is this video authentic or AI-generated?,en,UAE,Residents,42179,3374,675,911,-0.31,true
SOC-0257,2026-03-18,Instagram,trust,ذكر التاريخ والمصدر زاد ثقتي بالمعلومة,ar,Kalba,Professionals,32877,3616,362,759,0.65,true
SOC-0258,2026-03-19,YouTube,official_sources,التوضيح الرسمي وصل بسرعة وذكر تفاصيل واضحة,ar,Al Dhaid,Students,54885,1098,198,285,0.83,true
SOC-0259,2026-03-20,Facebook,ai_content,هل هذا الفيديو حقيقي أم مولد بالذكاء الاصطناعي؟,ar,Sharjah,Professionals,25681,4109,1438,1151,-0.12,false
SOC-0260,2026-03-21,Public forum,trust,ذكر التاريخ والمصدر زاد ثقتي بالمعلومة,ar,Khor Fakkan,Content creators,29249,1462,585,336,0.64,true
SOC-0261,2026-03-22,Instagram,breaking_news,الخبر عاجل لكن لا يوجد رابط لمصدر موثوق,ar,UAE,Residents,3777,151,44,11,-0.69,false
SOC-0262,2026-03-23,X,rumor_control,يجب توضيح الإشاعة والرد عليها دون إعادة نشرها,ar,Kalba,Content creators,25612,2817,761,225,0.32,false
SOC-0263,2026-03-24,Instagram,digital_literacy,خطوات التحقق المختصرة مفيدة وسهلة التطبيق,ar,UAE,Youth,16650,2331,350,443,0.66,true
SOC-0264,2026-03-25,Public forum,breaking_news,الخبر عاجل لكن لا يوجد رابط لمصدر موثوق,ar,Sharjah,Residents,46413,7426,2228,1188,-0.57,false
SOC-0265,2026-03-26,Facebook,breaking_news,الخبر عاجل لكن لا يوجد رابط لمصدر موثوق,ar,Khor Fakkan,Professionals,27621,1381,428,276,-0.51,false
SOC-0266,2026-03-27,X,source_verification,كيف أتأكد من المصدر الأصلي قبل المشاركة؟,ar,Sharjah,Youth,2208,221,46,55,0.45,true
SOC-0267,2026-03-28,TikTok,digital_literacy,خطوات التحقق المختصرة مفيدة وسهلة التطبيق,ar,Khor Fakkan,Students,30115,903,144,181,0.80,true
SOC-0268,2026-03-29,Facebook,misinformation,هذه الصورة صحيحة لكن الوصف المرفق بها مضلل,ar,UAE,Content creators,54583,7096,1703,1845,-0.72,true
SOC-0269,2026-03-30,Instagram,breaking_news,الخبر عاجل لكن لا يوجد رابط لمصدر موثوق,ar,Khor Fakkan,Parents,2520,126,18,26,-0.53,true
SOC-0270,2026-03-31,Public forum,official_sources,التوضيح الرسمي وصل بسرعة وذكر تفاصيل واضحة,ar,UAE,Professionals,1737,261,73,42,0.67,true
SOC-0271,2026-04-01,Facebook,official_sources,التوضيح الرسمي وصل بسرعة وذكر تفاصيل واضحة,ar,Sharjah,Residents,61785,8032,1205,643,0.72,true
SOC-0272,2026-04-02,Instagram,digital_literacy,خطوات التحقق المختصرة مفيدة وسهلة التطبيق,ar,Sharjah,Professionals,34233,4793,1198,1246,0.82,true
SOC-0273,2026-04-03,YouTube,trust,ذكر التاريخ والمصدر زاد ثقتي بالمعلومة,ar,Khor Fakkan,Youth,45194,7231,2242,1157,0.76,false
SOC-0274,2026-04-04,Public forum,digital_literacy,خطوات التحقق المختصرة مفيدة وسهلة التطبيق,ar,Khor Fakkan,Content creators,54655,5466,1640,656,0.81,true
SOC-0275,2026-04-05,YouTube,ai_content,هل هذا الفيديو حقيقي أم مولد بالذكاء الاصطناعي؟,ar,Al Dhaid,Professionals,32368,4532,1133,227,-0.28,true
SOC-0276,2026-04-06,Facebook,ai_content,هل هذا الفيديو حقيقي أم مولد بالذكاء الاصطناعي؟,ar,UAE,Youth,24501,2940,853,265,-0.11,true
SOC-0277,2026-04-07,Public forum,source_verification,كيف أتأكد من المصدر الأصلي قبل المشاركة؟,ar,Khor Fakkan,Professionals,36407,5825,1049,757,0.53,false
SOC-0278,2026-04-08,Public forum,breaking_news,الخبر عاجل لكن لا يوجد رابط لمصدر موثوق,ar,Al Dhaid,Residents,56177,1685,270,303,-0.49,true
SOC-0279,2026-04-09,Public forum,breaking_news,الخبر عاجل لكن لا يوجد رابط لمصدر موثوق,ar,Sharjah,Content creators,19527,1367,506,164,-0.58,false
SOC-0280,2026-04-10,Public forum,source_verification,How can I verify the original source before sharing?,en,Kalba,Youth,40853,2451,1029,147,0.41,false
SOC-0281,2026-04-11,Facebook,rumor_control,يجب توضيح الإشاعة والرد عليها دون إعادة نشرها,ar,Al Dhaid,Residents,50297,4527,1041,634,0.05,true
SOC-0282,2026-04-12,Public forum,ai_content,هل هذا الفيديو حقيقي أم مولد بالذكاء الاصطناعي؟,ar,Khor Fakkan,Youth,43024,2581,490,361,-0.37,true
SOC-0283,2026-04-13,Public forum,misinformation,The image is real but its caption is misleading,en,UAE,Youth,7026,984,295,49,-0.56,false
SOC-0284,2026-04-14,Public forum,breaking_news,الخبر عاجل لكن لا يوجد رابط لمصدر موثوق,ar,Khor Fakkan,Content creators,65912,5273,2109,896,-0.65,false
SOC-0285,2026-04-15,TikTok,ai_content,Is this video authentic or AI-generated?,en,Al Dhaid,Youth,66088,11235,2135,2247,-0.33,false
SOC-0286,2026-04-16,YouTube,ai_content,Is this video authentic or AI-generated?,en,Kalba,Youth,55194,2760,828,386,-0.31,true
SOC-0287,2026-04-17,X,trust,ذكر التاريخ والمصدر زاد ثقتي بالمعلومة,ar,Kalba,Parents,52444,4720,1794,1227,0.75,false
SOC-0288,2026-04-18,Instagram,official_sources,التوضيح الرسمي وصل بسرعة وذكر تفاصيل واضحة,ar,Sharjah,Parents,62398,8112,2596,1460,0.82,true
SOC-0289,2026-04-19,X,misinformation,هذه الصورة صحيحة لكن الوصف المرفق بها مضلل,ar,Kalba,Students,19943,1795,431,359,-0.69,false
SOC-0290,2026-04-20,X,source_verification,كيف أتأكد من المصدر الأصلي قبل المشاركة؟,ar,UAE,Youth,49747,2487,423,249,0.46,false
SOC-0291,2026-04-21,X,digital_literacy,The short verification steps are useful and actionable,en,Khor Fakkan,Students,64436,7088,992,567,0.72,true
SOC-0292,2026-04-22,Public forum,breaking_news,The news is urgent but has no link to a trusted source,en,Kalba,Youth,65738,1315,329,145,-0.69,true
SOC-0293,2026-04-23,Public forum,digital_literacy,خطوات التحقق المختصرة مفيدة وسهلة التطبيق,ar,Kalba,Youth,60915,9137,2832,457,0.90,true
SOC-0294,2026-04-24,TikTok,rumor_control,The rumor should be clarified without amplifying it,en,UAE,Residents,28544,4852,1456,1164,0.13,true
SOC-0295,2026-04-25,YouTube,trust,ذكر التاريخ والمصدر زاد ثقتي بالمعلومة,ar,UAE,Content creators,16874,2700,594,675,0.54,true
SOC-0296,2026-04-26,Public forum,breaking_news,الخبر عاجل لكن لا يوجد رابط لمصدر موثوق,ar,Al Dhaid,Youth,35564,1067,235,235,-0.50,true
SOC-0297,2026-04-27,X,ai_content,هل هذا الفيديو حقيقي أم مولد بالذكاء الاصطناعي؟,ar,Sharjah,Youth,43164,2590,984,699,-0.14,true
SOC-0298,2026-04-28,Facebook,rumor_control,يجب توضيح الإشاعة والرد عليها دون إعادة نشرها,ar,Al Dhaid,Residents,28087,5056,404,607,0.12,true
SOC-0299,2026-04-29,Instagram,official_sources,التوضيح الرسمي وصل بسرعة وذكر تفاصيل واضحة,ar,Al Dhaid,Students,29447,4123,701,577,0.88,true
SOC-0300,2026-04-30,Instagram,breaking_news,الخبر عاجل لكن لا يوجد رابط لمصدر موثوق,ar,UAE,Youth,65152,8470,1609,762,-0.45,false
SOC-0301,2026-05-01,TikTok,misinformation,The image is real but its caption is misleading,en,Sharjah,Residents,35969,3597,647,576,-0.70,false
SOC-0302,2026-05-02,Facebook,breaking_news,الخبر عاجل لكن لا يوجد رابط لمصدر موثوق,ar,Al Dhaid,Students,22799,3420,342,821,-0.67,true
SOC-0303,2026-05-03,YouTube,misinformation,هذه الصورة صحيحة لكن الوصف المرفق بها مضلل,ar,Al Dhaid,Residents,64320,9005,2431,720,-0.60,false
SOC-0304,2026-05-04,Facebook,source_verification,كيف أتأكد من المصدر الأصلي قبل المشاركة؟,ar,Al Dhaid,Parents,5601,896,143,206,0.39,true
SOC-0305,2026-05-05,TikTok,misinformation,هذه الصورة صحيحة لكن الوصف المرفق بها مضلل,ar,Kalba,Youth,67644,7441,1786,1935,-0.51,true
SOC-0306,2026-05-06,X,ai_content,Is this video authentic or AI-generated?,en,Khor Fakkan,Content creators,42799,3852,847,347,-0.16,false
SOC-0307,2026-05-07,YouTube,digital_literacy,خطوات التحقق المختصرة مفيدة وسهلة التطبيق,ar,Sharjah,Content creators,49578,3470,1076,243,0.72,true
SOC-0308,2026-05-08,X,rumor_control,The rumor should be clarified without amplifying it,en,Kalba,Residents,20011,1601,496,112,0.33,true
SOC-0309,2026-05-09,Facebook,rumor_control,يجب توضيح الإشاعة والرد عليها دون إعادة نشرها,ar,Al Dhaid,Parents,59329,1187,309,332,0.27,false
SOC-0310,2026-05-10,Facebook,ai_content,هل هذا الفيديو حقيقي أم مولد بالذكاء الاصطناعي؟,ar,Khor Fakkan,Parents,64886,10382,4153,2699,-0.35,false
SOC-0311,2026-05-11,Public forum,official_sources,التوضيح الرسمي وصل بسرعة وذكر تفاصيل واضحة,ar,Sharjah,Parents,29894,4484,1345,897,0.75,true
SOC-0312,2026-05-12,Public forum,digital_literacy,خطوات التحقق المختصرة مفيدة وسهلة التطبيق,ar,UAE,Parents,51878,6744,2158,1551,0.90,true
SOC-0313,2026-05-13,TikTok,ai_content,هل هذا الفيديو حقيقي أم مولد بالذكاء الاصطناعي؟,ar,Al Dhaid,Residents,59126,8869,798,1774,-0.22,false
SOC-0314,2026-05-14,TikTok,ai_content,Is this video authentic or AI-generated?,en,Sharjah,Professionals,48858,3420,410,616,-0.24,true
SOC-0315,2026-05-15,Instagram,trust,Including the date and source increased my trust,en,Al Dhaid,Residents,43684,6989,1468,1328,0.81,false
SOC-0316,2026-05-16,Instagram,breaking_news,الخبر عاجل لكن لا يوجد رابط لمصدر موثوق,ar,UAE,Content creators,38074,3046,1188,609,-0.68,false
SOC-0317,2026-05-17,Facebook,rumor_control,يجب توضيح الإشاعة والرد عليها دون إعادة نشرها,ar,Sharjah,Professionals,8941,1162,116,256,0.04,false
SOC-0318,2026-05-18,TikTok,source_verification,How can I verify the original source before sharing?,en,Khor Fakkan,Parents,5165,155,19,9,0.33,true
SOC-0319,2026-05-19,YouTube,breaking_news,The news is urgent but has no link to a trusted source,en,Khor Fakkan,Content creators,38098,3048,1250,823,-0.64,true
SOC-0320,2026-05-20,X,digital_literacy,خطوات التحقق المختصرة مفيدة وسهلة التطبيق,ar,Al Dhaid,Students,51290,1026,339,92,0.80,true
